time,power,soc,current,voltage,output,loss,temp,warning
44.8,0.0,39.46794549513068,9.825079206648109e-14,345.46723155842335,3.3942429133629523e-11,1.589546926127742e-27,60,
44.9,0.0,39.46794549513068,-3.684404702493041e-14,345.51617339805995,-1.273021414055213e-11,2.235300364867296e-28,60,
45.0,0.0,39.46794549513068,2.4562698016620272e-14,345.5649896256291,8.488008485290845e-12,9.934668288299092e-29,60,
45.1,0.0,39.46794549513068,2.4562698016620272e-14,345.61368056352154,8.489204466094443e-12,9.934668288299092e-29,60,
45.2,0.0,39.46794549513068,1.2281349008310136e-14,345.6622465333004,4.245198688672003e-12,2.483667072074773e-29,60,
45.3,0.0,39.46794549513068,-4.9125396033240545e-14,345.71068785570367,-1.6983174453835444e-11,3.973867315319355e-28,60,
45.4,0.0,39.46794549513068,-8.596944305817095e-14,345.75900485064597,-2.972470907935746e-11,1.2169968653166386e-27,60,
45.5,0.0,39.46794549513068,-8.596944305817095e-14,345.80719783722094,-2.972885220357262e-11,1.2169968653166386e-27,60,
45.6,-50000.0,39.672758979780745,-132.71913805323845,376.7354183685487,-49999.99999999996,2175.4325938654,60,
45.7,-45000.0,39.85810172648794,-120.10209986625719,374.68120915546854,-45000.00000000008,1780.5041239366135,60,
45.8,-45000.0,40.04307622705807,-119.86347636945494,375.4271222811575,-44999.99999999999,1772.5609293598231,60,
45.9,-50000.0,40.246653908884305,-131.9183378233959,379.02236205353734,-50000.00000000001,2145.749457723499,60,
46.0,0.0,40.246653908884305,-7.38830176675022e-14,349.16652366520145,-2.5797476436856407e-11,8.86084103167109e-28,60,
46.1,0.0,40.246653908884305,-4.925534511166814e-14,349.20965478253004,-1.720044206264001e-11,3.938151569631597e-28,60,
46.2,0.0,40.246653908884305,-7.38830176675022e-14,349.2526737542022,-2.5803841465404103e-11,8.86084103167109e-28,60,
46.3,0.0,40.246653908884305,3.69415088337511e-14,349.29558087180885,1.2903505786366149e-11,2.215210257917615e-28,60,
